ARPTDB 1.000000
KMWH 47.210618960 -119.321038050 1185 18000 18000
KMXF 32.383752500 -86.365327575 169 18000 18000
KMYR 33.679748450 -78.928325500 23 18000 18000
KMZJ 32.509844850 -111.325365500 1892 18000 18000
KNBC 32.479915250 -80.719762575 37 18000 18000
KNBG 29.825162700 -90.026703800 1 18000 18000
KNEN 30.349489700 -81.866993100 99 18000 18000
KNEW 30.041856833 -90.027690333 5 18000 18000
KNFE 36.692038000 -76.134566050 16 18000 18000
KNFJ 30.508560367 -86.955387717 102 18000 18000
KNFL 39.417119867 -118.699088600 3934 18000 18000
KNFW 32.769188900 -97.441529300 648 18000 18000
KNGP 27.692662863 -97.290001000 19 18000 18000
KNGT 28.611631025 -97.612559350 320 18000 18000
KNGU 36.937466350 -76.289297300 15 18000 18000
KNHK 38.285773500 -76.411819567 39 18000 18000
KNID 35.685512883 -117.691535100 2283 18000 18000
KNIP 30.234237350 -81.675401750 20 18000 18000
KNJK 32.826138325 -115.667952400 4294967255 18000 18000
KNJW 32.798940950 -88.834526850 540 18000 18000
KNKT 34.902803062 -76.881217263 26 18000 18000
KNKX 32.867993083 -117.138769467 478 18000 18000
KNLC 36.333125150 -119.952164125 232 18000 18000
KNMM 32.553066633 -88.554503483 315 18000 18000
KNOG 27.896804250 -98.043560250 255 18000 18000
KNPA 30.353218833 -87.318054850 24 18000 18000
KNQA 35.356640250 -89.870431550 318 18000 18000
KNQI 27.504499125 -97.808290500 48 18000 18000
KNQX 24.574375433 -81.686800267 3 18000 18000
KNRB 30.391356700 -81.424504450 17 18000 18000
KNSI 33.239908450 -119.458374650 505 18000 18000
KNTD 34.119177525 -119.118456375 13 18000 18000
KNTU 36.823371487 -76.031367112 20 18000 18000
KNUC 33.022753200 -118.588476400 182 18000 18000
KNUQ 37.416050075 -122.049173275 33 18000 18000
KNUW 48.351814500 -122.655927750 43 18000 18000
KNXP 34.296110000 -116.162095500 2049 18000 18000
KNXX 40.199924000 -75.148194500 356 18000 0
KNYL 32.658418000 -114.603992750 211 18000 18000
KNZY 32.698158250 -117.213046700 24 18000 18000
KOAJ 34.829163650 -77.612176550 94 18000 18000
KOAK 37.724926600 -122.219673938 4 18000 18000
KOCF 29.174342800 -82.224914325 85 18000 18000
KOFF 41.119328000 -95.908527450 1046 18000 18000
KOGD 41.194833175 -112.012682775 4473 18000 18000
